
40.87489667°N, 017.39830026°E
40.87475550°N, 017.39863454°E
40.87252846°N, 017.40025690°E
40.87208871°N, 017.40004996°E
40.87181609°N, 017.40003537°E

40.87094799°N, 017.39980940°E
40.87115139°N, 017.39986065°E
40.87202329°N, 017.40172070°E
40.87222922°N, 017.40199632°E
40.87250976°N, 017.40180355°E
40.87292567°N, 017.40362936°E
40.87304034°N, 017.40413426°E
40.87302946°N, 017.40487194°E
40.87323026°N, 017.40517705°E

40.87333049°N, 017.40352416°E
40.87371489°N, 017.40328793°E
40.87487100°N, 017.40412897°E
40.87507165°N, 017.40430758°E
40.87535576°N, 017.40439298°E

40.87550439°N, 017.40364092°E
40.87532344°N, 017.40361930°E
40.87387500°N, 017.40247732°E
40.87365148°N, 017.40230240°E
40.87297538°N, 017.40144743°E
40.87276649°N, 017.40126640°E

40.87218211°N, 017.40091955°E
40.87255108°N, 017.40082740°E
40.87365372°N, 017.39982967°E
40.87403800°N, 017.40045562°E
40.87498611°N, 017.39950805°E
40.87507726°N, 017.39920507°E

40.87500524°N, 017.39843293°E
40.87526427°N, 017.39849865°E
40.87681947°N, 017.39774514°E
40.87696763°N, 017.39770646°E
40.87710560°N, 017.39734808°E
40.87812470°N, 017.39685346°E
40.87835765°N, 017.39656234°E
40.87879126°N, 017.39638930°E
40.87901557°N, 017.39623589°E

40.87864923°N, 017.39573861°E
40.87888074°N, 017.39553371°E
40.88021292°N, 017.39491790°E
40.88077205°N, 017.39479874°E
40.88103867°N, 017.39468541°E
40.88115167°N, 017.39455763°E
40.88157716°N, 017.39382947°E
40.88180911°N, 017.39371618°E

40.88217817°N, 017.39426532°E
40.88199761°N, 017.39448513°E
40.88058282°N, 017.39588147°E
40.88008842°N, 017.39585960°E
40.88002796°N, 017.39556595°E
40.87990254°N, 017.39587117°E
40.87963038°N, 017.39610285°E

40.87983539°N, 017.39644538°E
40.87968872°N, 017.39680631°E
40.87776194°N, 017.39794673°E
40.87759603°N, 017.39808979°E
40.87743153°N, 017.39862320°E
40.87696085°N, 017.39887676°E
40.87677685°N, 017.39904468°E

40.87679788°N, 017.40069552°E
40.87692380°N, 017.40074754°E
40.87836700°N, 017.39986244°E
40.87849926°N, 017.39979567°E
40.87849355°N, 017.39918312°E
40.87860383°N, 017.39914260°E
40.87955482°N, 017.39809086°E
40.88012928°N, 017.39775855°E
40.88036958°N, 017.39759444°E

40.88077401°N, 017.39779382°E
40.88070051°N, 017.39787590°E
40.88016584°N, 017.39874605°E
40.88003123°N, 017.39893403°E
40.87978167°N, 017.39914492°E

40.87952268°N, 017.39940163°E
40.87934828°N, 017.39946736°E
40.87824091°N, 017.40089139°E
40.87766247°N, 017.40124963°E
40.87780698°N, 017.40158571°E
40.87765250°N, 017.40174994°E
40.87753371°N, 017.40211660°E

40.87677386°N, 017.40308439°E
40.87688183°N, 017.40296037°E
40.87720065°N, 017.40143241°E
40.87725606°N, 017.40114605°E

40.87665392°N, 017.40067916°E
40.87665251°N, 017.40094136°E
40.87638147°N, 017.40274456°E
40.87617173°N, 017.40299353°E
40.87608470°N, 017.40321929°E
40.87597624°N, 017.40359142°E
40.87596051°N, 017.40365873°E
40.87582902°N, 017.40439243°E
40.87567963°N, 017.40488246°E
40.87555057°N, 017.40517967°E

40.87571146°N, 017.40594709°E
40.87577801°N, 017.40580129°E
40.87670125°N, 017.40360781°E
40.87723937°N, 017.40384861°E
40.87710929°N, 017.40338702°E
40.87762200°N, 017.40297148°E
40.87770053°N, 017.40280795°E

40.87789488°N, 017.40366905°E
40.87815816°N, 017.40298210°E
40.87927848°N, 017.40078234°E
40.87937092°N, 017.40065123°E
40.88042275°N, 017.39958012°E
40.88059249°N, 017.39915831°E
40.88066342°N, 017.39907400°E
40.88100715°N, 017.39872719°E
40.88117006°N, 017.39849917°E

40.88184749°N, 017.39817959°E
40.88177498°N, 017.39812772°E
40.88070414°N, 017.39679632°E
40.88062497°N, 017.39635413°E

40.88011250°N, 017.39679799°E
40.87984833°N, 017.39713961°E
40.87855302°N, 017.39855453°E
40.87851305°N, 017.39861823°E
40.87802393°N, 017.39868031°E
40.87758126°N, 017.39935795°E
40.87692524°N, 017.39980453°E
40.87667075°N, 017.39998781°E


23333, 333333
